epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3036.96,1.40003,1.17363,0.00514,0.71357,0.53561,0.62208,0.36013,1.61615,1.42237,0.0065,0.000990365,0.000990365,0.000990365
43,3146.82,1.48193,1.19419,0.00526,0.71213,0.54503,0.63033,0.36701,1.58949,1.40554,0.00628,0.000973861,0.000973861,0.000973861
44,3262.25,1.42177,1.14887,0.00506,0.68305,0.57059,0.62856,0.3684,1.58647,1.34884,0.00625,0.000957358,0.000957358,0.000957358
45,3373.21,1.38708,1.1582,0.00496,0.6906,0.57392,0.63597,0.36534,1.59672,1.35906,0.0064,0.000940855,0.000940855,0.000940855
46,3491.77,1.43381,1.11923,0.00513,0.70109,0.5858,0.64799,0.3643,1.63037,1.31561,0.00644,0.000924352,0.000924352,0.000924352
47,3601.3,1.42006,1.12348,0.00504,0.68337,0.59034,0.65227,0.3817,1.57989,1.26984,0.00613,0.000907848,0.000907848,0.000907848
48,3713.54,1.38589,1.12518,0.00515,0.68397,0.6065,0.66216,0.40069,1.55608,1.24998,0.00618,0.000891345,0.000891345,0.000891345
49,3831.55,1.47438,1.1416,0.00482,0.6674,0.59062,0.64526,0.35736,1.69832,1.30895,0.00682,0.000874842,0.000874842,0.000874842
50,3941.15,1.36802,1.08412,0.00505,0.667,0.60347,0.65283,0.34979,1.73702,1.2877,0.0071,0.000858338,0.000858338,0.000858338
51,4029.5,1.37961,1.08386,0.00476,0.68526,0.61187,0.67043,0.37885,1.60867,1.27912,0.00641,0.000841835,0.000841835,0.000841835
52,4089.8,1.41791,1.11508,0.00486,0.67876,0.59803,0.66195,0.38422,1.59335,1.30889,0.0064,0.000825332,0.000825332,0.000825332
